,0
microsoft.com:cognitiveservices-ImageSearch,cloud
microsoft.com:cognitiveservices-NewsSearch,cloud
microsoft.com:cognitiveservices-Prediction,cloud
microsoft.com:cognitiveservices-SpellCheck,cloud
microsoft.com:cognitiveservices-Training,cloud
microsoft.com:cognitiveservices-VideoSearch,cloud
microsoft.com:cognitiveservices-WebSearch,cloud
motaword.com,text
mozilla.com:kinto,cloud
nativeads.com,marketing
naviplancentral.com:factfinder,financial
naviplancentral.com:plan,financial
nba.com,media
neowsapp.com,open_data
netatmo.net,iot
netlicensing.io,developer_tools
netlify.com,cloud
neutrinoapi.com,email
nfusionsolutions.biz,financial
noosh.com,collaboration
npr.org,media
nrel.gov:building-case-studies,open_data
nrel.gov:transportation-incentives-laws,open_data
nsidc.org,open_data
nytimes.com:archive,media
nytimes.com:article_search,media
nytimes.com:books_api,media
nytimes.com:community,media
