,implemented fields,missing fields,clusters
azure.com:recoveryservices-replicationusages,11,4,0
azure.com:recoveryservices-vaults,11,4,0
azure.com:recoveryservices-vaultusages,11,4,0
azure.com:recoveryservicesbackup,11,4,0
azure.com:recoveryservicesbackup-backupManagement,11,4,0
azure.com:recoveryservicesbackup-bms,11,4,0
azure.com:recoveryservicesbackup-jobs,11,4,0
azure.com:recoveryservicesbackup-operations,11,4,0
azure.com:recoveryservicesbackup-registeredIdentities,11,4,0
azure.com:recoveryservicessiterecovery-service,11,4,0
azure.com:redis,11,4,0
azure.com:relay,11,4,0
azure.com:reservations,10,5,1
azure.com:resourcehealth,10,5,1
azure.com:resources,11,4,0
azure.com:resources-features,11,4,0
azure.com:resources-links,11,4,0
azure.com:resources-locks,11,4,0
azure.com:resources-managedapplications,11,4,0
azure.com:resources-management,12,3,5
azure.com:resources-policy,11,4,0
azure.com:resources-policyAssignments,11,4,0
azure.com:resources-policyDefinitions,11,4,0
azure.com:resources-policySetDefinitions,11,4,0
azure.com:resources-subscriptions,11,4,0
azure.com:scheduler,9,6,3
azure.com:search,11,4,0
azure.com:search-searchindex,9,6,3
azure.com:search-searchservice,9,6,3
azure.com:servermanagement,11,4,0
azure.com:service-map-arm-service-map,11,4,0
azure.com:servicebus,11,4,0
azure.com:servicefabric,8,7,4
azure.com:sql-Databases,10,5,1
azure.com:sql-advisors,10,5,1
azure.com:sql-backupLongTermRetentionPolicies,10,5,1
azure.com:sql-backupLongTermRetentionVaults,10,5,1
azure.com:sql-backups,10,5,1
azure.com:sql-blobAuditingPolicies,10,5,1
azure.com:sql-cancelOperations,10,5,1
azure.com:sql-cancelPoolOperations,10,5,1
azure.com:sql-capabilities,10,5,1
azure.com:sql-checkNameAvailability,10,5,1
azure.com:sql-connectionPolicies,10,5,1
azure.com:sql-dataMasking,10,5,1
azure.com:sql-dataWarehouseUserActivities,10,5,1
azure.com:sql-databaseAutomaticTuning,10,5,1
azure.com:sql-databaseSecurityAlertPolicies,10,5,1
azure.com:sql-databases,10,5,1
azure.com:sql-deprecated,10,5,1
azure.com:sql-disasterRecoveryConfigurations,10,5,1
azure.com:sql-elasticPools,10,5,1
azure.com:sql-encryptionProtectors,10,5,1
azure.com:sql-failoverGroups,10,5,1
azure.com:sql-firewallRules,10,5,1
azure.com:sql-geoBackupPolicies,10,5,1
azure.com:sql-importExport,10,5,1
azure.com:sql-managedDatabases,10,5,1
azure.com:sql-metrics,10,5,1
azure.com:sql-operations,10,5,1
azure.com:sql-queries,10,5,1
azure.com:sql-renameDatabase,10,5,1
azure.com:sql-replicationLinks,10,5,1
azure.com:sql-restorePoints,10,5,1
azure.com:sql-serverAutomaticTuning,10,5,1
azure.com:sql-serverAzureADAdministrators,10,5,1
azure.com:sql-serverCommunicationLinks,10,5,1
azure.com:sql-serverDnsAliases,10,5,1
azure.com:sql-serverKeys,10,5,1
azure.com:sql-servers,10,5,1
azure.com:sql-serviceObjectives,10,5,1
azure.com:sql-sql.core,10,5,1
azure.com:sql-syncAgents,10,5,1
azure.com:sql-syncGroups,10,5,1
azure.com:sql-syncMembers,10,5,1
azure.com:sql-tableAuditing,10,5,1
azure.com:sql-usages,10,5,1
azure.com:sql-virtualNetworkRules,10,5,1
azure.com:storage,11,4,0
azure.com:storageimportexport,11,4,0
azure.com:storsimple8000series-storsimple,11,4,0
azure.com:streamanalytics-functions,11,4,0
azure.com:streamanalytics-inputs,11,4,0
azure.com:streamanalytics-outputs,11,4,0
azure.com:streamanalytics-streamingjobs,11,4,0
azure.com:streamanalytics-subscriptions,11,4,0
azure.com:streamanalytics-transformations,11,4,0
azure.com:subscription-subscriptionDefinitions,11,4,0
azure.com:timeseriesinsights,11,4,0
azure.com:trafficmanager,11,4,0
azure.com:trafficmanager-trafficmanageranalytics,11,4,0
azure.com:visualstudio-Csm,11,4,0
azure.com:web-AppServiceCertificateOrders,11,4,0
azure.com:web-AppServiceEnvironments,11,4,0
azure.com:web-AppServicePlans,11,4,0
azure.com:web-CertificateRegistrationProvider,11,4,0
azure.com:web-Certificates,11,4,0
azure.com:web-DeletedWebApps,11,4,0
azure.com:web-Diagnostics,11,4,0
azure.com:web-DomainRegistrationProvider,11,4,0
azure.com:web-Domains,11,4,0
azure.com:web-Provider,11,4,0
azure.com:web-Recommendations,11,4,0
azure.com:web-ResourceProvider,11,4,0
azure.com:web-TopLevelDomains,11,4,0
azure.com:web-WebApps,11,4,0
azure.com:web-logicAppsManagementClient,11,4,0
azure.com:web-service,9,6,3
bbc.co.uk,11,4,0
bbc.com,13,2,2
bbci.co.uk,13,2,2
bclaws.ca:bclaws,9,6,3
beanstream.com,8,7,4
beezup.com,14,1,8
betfair.com,9,6,3
bigoven.com,9,6,3
bikewise.org,9,6,3
bitbucket.org,12,3,5
blazemeter.com,11,4,0
bluemix.net:containers,8,7,4
botify.com,11,4,0
box.com:authorization,9,6,3
box.com:content,13,2,2
box.com:token,9,6,3
box.com:upload,11,4,0
brandlovers.com,11,4,0
brex.io,3,12,10
browshot.com,10,5,1
bufferapp.com,11,4,0
bungie.net,10,5,1
callfire.com,11,4,0
cambase.io,7,8,6
carbondoomsday.com,11,4,0
ccp.is,10,5,1
cenit.io,13,2,2
channel4.com,14,1,8
circleci.com,12,3,5
circuitsandbox.net,8,7,4
cisco.com,7,8,6
citrixonline.com:gotomeeting,12,3,5
citrixonline.com:scim,12,3,5
citycontext.com,11,4,0
clarify.io,8,7,4
clever-cloud.com,8,7,4
clever.com,11,4,0
clickmeter.com,8,7,4
cloudmersive.com:ocr,9,6,3
cnab-online.herokuapp.com,8,7,4
code-scan.com,10,5,1
consumerfinance.gov,9,6,3
core.ac.uk,10,5,1
cybertaxonomy.eu,9,6,3
data.gov,10,5,1
data2crm.com,12,3,5
dataatwork.org,9,6,3
datumbox.com,8,7,4
deeparteffects.com,9,6,3
deutschebahn.com:betriebsstellen,9,6,3
deutschebahn.com:fahrplan,9,6,3
deutschebahn.com:fasta,11,4,0
deutschebahn.com:flinkster,9,6,3
deutschebahn.com:reisezentren,9,6,3
deutschebahn.com:stada,7,8,6
digitallinguistics.io,15,0,9
docker.com:engine,10,5,1
docusign.net,14,1,8
domainsdb.info,11,4,0
dracoon.team,8,7,4
dropx.io,8,7,4
dweet.io,7,8,6
ebay.com:buy-browse,8,7,4
ebay.com:buy-feed,9,6,3
ebay.com:buy-marketing,8,7,4
ebay.com:commerce-taxonomy,9,6,3
ebay.com:sell-fulfillment,9,6,3
envoice.in,7,8,6
epa.gov:air,10,5,1
epa.gov:case,10,5,1
epa.gov:cwa,10,5,1
epa.gov:dfr,10,5,1
epa.gov:echo,10,5,1
epa.gov:eff,10,5,1
epa.gov:rcra,10,5,1
epa.gov:sdw,10,5,1
etmdb.com,6,9,7
europeana.eu,9,6,3
exavault.com,9,6,3
fantasydata.net:cbb-v3-scores,10,5,1
fantasydata.net:cbb-v3-stats,10,5,1
fantasydata.net:cfb-v3-scores,10,5,1
fantasydata.net:golf-v2,10,5,1
fantasydata.net:mlb-v3-play-by-play,10,5,1
fantasydata.net:mlb-v3-projections,10,5,1
fantasydata.net:mlb-v3-projections-dfsr,10,5,1
fantasydata.net:mlb-v3-rotoballer-articles,10,5,1
fantasydata.net:mlb-v3-rotoballer-premium-news,10,5,1
fantasydata.net:mlb-v3-scores,10,5,1
fantasydata.net:mlb-v3-stats,10,5,1
fantasydata.net:nascar-v2,10,5,1
fantasydata.net:nba-v3-play-by-play,10,5,1
fantasydata.net:nba-v3-projections,10,5,1
fantasydata.net:nba-v3-rotoballer-articles,10,5,1
fantasydata.net:nba-v3-rotoballer-premium-news,10,5,1
fantasydata.net:nba-v3-scores,10,5,1
fantasydata.net:nba-v3-stats,10,5,1
fantasydata.net:nfl-v3-play-by-play,10,5,1
fantasydata.net:nfl-v3-projections,10,5,1
